Window,Throughput (bits),Avg HoL Delay (s),Dropped
587,1.32793e+06,0.456939,2186
588,1.32254e+06,0.540498,2165
589,1.2244e+06,0.391451,2290
590,1.20352e+06,0.298952,2263
591,1.36015e+06,0.29824,2450
592,1.22498e+06,0.356052,2285
593,1.25397e+06,0.393864,2349
594,1.42311e+06,0.37331,2276
595,1.2591e+06,0.521328,2186
596,1.3274e+06,0.3358,2337
597,1.28766e+06,0.374148,2239
598,1.25523e+06,0.309062,2245
599,1.28405e+06,1.07102,2151
600,1.27468e+06,0.559513,2319
601,1.24846e+06,0.438674,2300
602,1.35282e+06,0.342242,2242
603,1.41103e+06,0.485119,2205
604,1.18423e+06,1.6176,1894
605,1.33598e+06,0.844721,2220
606,1.22973e+06,0.296407,2492
607,1.3294e+06,0.879927,2422
608,1.32019e+06,0.527784,2181
609,1.2913e+06,0.396377,2201
610,1.25772e+06,0.251395,2205
611,1.26101e+06,0.290675,2377
612,1.3677e+06,0.251928,2349
613,1.20308e+06,0.18203,2403
614,1.31074e+06,0.313436,2318
615,1.29088e+06,0.451039,2204
616,1.30439e+06,0.352734,2332
617,1.25882e+06,0.378673,2210
618,1.36219e+06,6.71299,2075
619,1.27157e+06,1.41807,2152
620,1.34123e+06,0.218799,2171
621,1.27376e+06,0.206794,2241
622,1.29395e+06,0.305687,2156
623,1.21346e+06,0.321784,2316
624,1.20613e+06,0.24467,2267
625,1.19186e+06,0.249277,2298
626,1.25943e+06,0.337427,2312
627,1.36692e+06,0.294979,2277
628,1.38105e+06,0.229289,2346
629,1.21294e+06,0.257013,2260
630,1.30221e+06,2.13111,2270
631,1.33354e+06,7.42816,2109
632,1.34228e+06,4.04246,2183
633,1.2524e+06,3.11301,2202
634,1.30503e+06,0.806759,2256
635,1.34368e+06,3.00668,2216
636,1.33527e+06,6.22954,1874
637,1.28604e+06,0.759879,2111
638,1.22934e+06,11.552,2049
639,1.22644e+06,3.69638,2321
640,1.31597e+06,0.447679,2189
641,1.37128e+06,0.396708,2221
642,1.3655e+06,0.24681,2353
643,1.27468e+06,0.31176,2282
644,1.31547e+06,0.671007,2090
645,1.18001e+06,0.583855,2098
646,1.25891e+06,0.428187,2287
647,1.25426e+06,0.553773,2071
648,1.28127e+06,0.481552,2238
649,1.21914e+06,0.324138,2536
650,1.36345e+06,0.719282,2228
651,1.32145e+06,0.506559,2197
652,1.28337e+06,0.360718,2211
653,1.2681e+06,0.2618,2437
654,1.26459e+06,0.463412,2322
655,1.2925e+06,0.271785,2451
656,1.23295e+06,0.326889,2421
657,1.30142e+06,0.389946,2384
658,1.30443e+06,1.02696,2065
659,1.33043e+06,0.452119,2291
660,1.24381e+06,0.359897,2326
661,1.34519e+06,0.368282,2260
662,1.2662e+06,0.412439,2165
663,1.29353e+06,0.367721,2236
664,1.23769e+06,0.331999,2304
665,1.21484e+06,0.353842,2278
666,1.27797e+06,0.406602,2339
667,1.26553e+06,0.33476,2337
668,1.14771e+06,0.30633,2223
669,1.31586e+06,0.320582,2374
670,1.35018e+06,0.299008,2378
671,1.28524e+06,0.50376,2448
672,1.35958e+06,0.577496,2232
673,1.29524e+06,0.449009,2208
674,1.30766e+06,0.257977,2251
675,1.10727e+06,0.275888,2181
676,1.32848e+06,0.299361,2382
677,1.20805e+06,0.758325,2171
678,1.19927e+06,0.669304,2097
679,1.27923e+06,0.368523,2159
680,1.29501e+06,0.39857,2320
681,1.23866e+06,0.503775,2224
682,1.23024e+06,0.524536,2232
683,1.28042e+06,0.380748,2526
684,1.29711e+06,0.54714,2196
685,1.20126e+06,0.452274,2260
686,1.2554e+06,0.335743,2492
687,1.38627e+06,0.350569,2390
688,1.1956e+06,0.518791,2239
689,1.35747e+06,0.397312,2298
690,1.26057e+06,0.481431,2331
691,1.26253e+06,0.283567,2407
692,1.31953e+06,0.712007,2180
693,1.25177e+06,0.64526,2119
694,1.34594e+06,0.367437,2301
695,1.28409e+06,0.478051,2130
696,1.28301e+06,0.398885,2288
697,1.28762e+06,0.455614,2335
698,1.29926e+06,0.351636,2441
699,1.22704e+06,0.351023,2345
700,1.18286e+06,0.301935,2391
701,1.30252e+06,0.460679,2315
702,1.29932e+06,0.618888,2266
703,1.35712e+06,0.374782,2358
704,1.36541e+06,0.371404,2244
705,1.27759e+06,0.279846,2289
706,1.35992e+06,0.274848,2210
707,1.24663e+06,0.304996,2282
708,1.31867e+06,2.22016,2232
709,1.14445e+06,6.49243,2059
710,1.22246e+06,15.4497,2087
711,1.17904e+06,0.465999,2266
712,1.18422e+06,0.396554,2407
713,1.30878e+06,0.360251,2425
714,1.26136e+06,4.36084,2434
715,1.30635e+06,2.27476,2221
716,1.23532e+06,0.671174,2144
717,1.29177e+06,0.486777,2244
718,1.20275e+06,0.347715,2461
719,1.24617e+06,0.309426,2467
720,1.24029e+06,0.395327,2505
721,1.36975e+06,0.78839,2100
722,1.26313e+06,0.804552,1992
723,1.30874e+06,0.405715,2031
724,1.2791e+06,0.319935,2323
725,1.28638e+06,0.4571,2225
726,1.36518e+06,0.512231,2101
727,1.22412e+06,0.342128,2251
728,1.23399e+06,0.382061,2305
729,1.30025e+06,0.383219,2331
730,1.2857e+06,0.367972,2348
731,1.31157e+06,0.680998,2293
732,1.16483e+06,0.329716,2495
733,1.3046e+06,0.277077,2415
734,1.29018e+06,0.647063,2395
735,1.20328e+06,1.28514,2074
736,1.33098e+06,0.666274,2315
737,1.29959e+06,0.489901,2246
738,1.32606e+06,0.296337,2369
739,1.22032e+06,0.30848,2381
740,1.20837e+06,0.284361,2405
741,1.28194e+06,0.326743,2367
742,1.3449e+06,0.240702,2320
743,1.34249e+06,0.426109,2326
744,1.2521e+06,0.658251,2005
745,1.25947e+06,0.472118,2082
746,1.34014e+06,0.31278,2318
747,1.23698e+06,0.310597,2231
748,1.38552e+06,0.344412,2399
749,1.20297e+06,0.339677,2330
750,1.31875e+06,0.331652,2325
751,1.40813e+06,0.253902,2329
752,1.33261e+06,0.450149,2100
753,1.29816e+06,0.376384,2153
754,1.28449e+06,0.322336,2069
755,1.19117e+06,0.239033,2258
756,1.29165e+06,0.28483,2256
757,1.34522e+06,0.25462,2235
758,1.32131e+06,0.416238,2226
759,1.28696e+06,0.445771,2170
760,1.33513e+06,0.318346,2211
761,1.29665e+06,0.233014,2338
762,1.25258e+06,0.346806,2273
763,1.33793e+06,0.344958,2066
764,1.22372e+06,0.251926,2319
765,1.22493e+06,0.241899,2234
766,1.29418e+06,0.238673,2359
767,1.24956e+06,0.246594,2290
768,1.29038e+06,0.190169,2373
769,1.20316e+06,0.235729,2340
770,1.2157e+06,0.435186,2197
771,1.29175e+06,0.342636,2365
