Window,Throughput (bits),Avg HoL Delay (s),Dropped
795,21745,0.00139535,0
796,36190,0.00195833,0
797,25722,0.00201923,0
798,23815,0.00244898,0
799,32072,0.00288889,0
800,25846,0.00129787,0
801,35487,0.00556923,0
802,30868,0.00374242,0
803,36218,0.00208333,0
804,31333,0.00159322,0
805,31680,0.00126154,0
806,30436,0.000962264,0
807,36768,0.00201471,0
808,24953,0.002,0
809,35016,0.00313235,0
810,28026,0.00285455,0
811,25584,0.00129412,0
812,22558,0.000588235,0
813,24685,0.00161818,0
814,36018,0.00213235,0
815,31062,0.00130303,0
816,28104,0.0032069,0
817,33168,0.00160606,0
818,28863,0.00148214,0
819,31895,0.00186667,0
820,25981,0.00257143,0
821,33730,0.00303175,0
822,27384,0.00257447,0
823,27714,0.00256863,0
824,28841,0.00228571,0
825,28249,0.00118182,0
826,36499,0.00224,0
827,24141,0.00235417,0
828,30994,0.004,0
829,25373,0.00346667,0
830,32012,0.0023125,0
831,30513,0.000931034,0
832,34613,0.00403077,0
833,26157,0.000901961,0
834,34423,0.00274627,0
835,30476,0.00175,0
836,28106,0.00306452,0
837,36061,0.00160563,0
838,27528,0.00134694,0
839,34421,0.00120968,0
840,30351,0.00367213,0
841,23031,0.00233333,0
842,27722,0.00225862,0
843,34990,0.00207576,0
844,31927,0.00219048,0
845,35667,0.00240909,0
846,26580,0.000509434,0
847,29732,0.000919355,0
848,35632,0.00158209,0
849,30559,0.00251724,0
850,23827,0.00379592,0
851,31405,0.000596774,0
852,36095,0.00197222,0
853,34439,0.00320968,0
854,29600,0.00420968,0
855,27881,0.0030566,0
856,36822,0.00198438,0
857,38014,0.00351563,0
858,31077,0.00145588,0
859,35825,0.00244286,0
860,27968,0.0030678,0
861,34702,0.00172308,0
862,34001,0.00203125,0
863,31672,0.00454688,0
864,31768,0.00342373,0
865,26008,0.00170909,0
866,35241,0.00234286,0
867,30674,0.00292593,0
868,26424,0.00235185,0
869,28095,0.00174074,0
870,33992,0.00239437,0
871,37893,0.00222857,0
872,33142,0.00116418,0
873,26277,0.00194737,0
874,26292,0.0032807,0
875,27366,0.00234615,0
876,34774,0.000555556,0
877,28078,0.00178,0
878,36644,0.0025625,0
879,26635,0.00108,0
880,28858,0.00210714,0
881,31670,0.00162295,0
882,24967,0.00154348,0
883,31558,0.00133962,0
884,30716,0.00274545,0
885,34254,0.00172727,0
886,30610,0.000983871,0
887,29547,0.00362069,0
888,24581,0.00145098,0
889,33343,0.00258333,0
890,28136,0.00134,0
891,37544,0.00112676,0
892,34748,0.00121212,0
893,20397,0.00231915,0
894,30471,0.00108065,0
895,33216,0.00267692,0
896,39764,0.00128767,0
897,29510,0.00115789,0
898,34904,0.003,0
899,30284,0.00301587,0
900,26963,0.00130357,0
901,23530,0.00322917,0
902,31261,0.0024507,0
903,34680,0.00168056,0
904,24469,0.00164151,0
905,40901,0.00221918,0
906,32496,0.00243836,0
907,31692,0.00115254,0
908,27101,0.000929825,0
909,41333,0.00171622,0
910,33670,0.00128986,0
911,31258,0.00367188,0
912,29561,0.00296721,0
913,31264,0.00107937,0
914,28307,0.00188333,0
915,25225,0.002,0
916,36109,0.00263636,0
917,27978,0.00342623,0
918,18813,0.00156098,0
919,33504,0.00316129,0
920,36131,0.00315714,0
921,31879,0.000688525,0
922,33610,0.00104839,0
923,27634,0.0022,0
924,26788,0.00461111,0
925,30553,0.00222535,0
926,29365,0.001,0
927,27106,0.00282143,0
928,25876,0.002,0
929,31789,0.00206667,0
930,33299,0.00255556,0
931,26145,0.00163265,0
932,28843,0.00439655,0
933,33986,0.00438235,0
934,33290,0.00163333,0
935,32818,0.00409231,0
936,23314,0.00402128,0
937,29269,0.00189831,0
938,34135,0.00192754,0
939,27538,0.00245833,0
940,33142,0.00364179,0
941,33063,0.00269841,0
942,31599,0.00317647,0
943,33301,0.00178788,0
944,28939,0.0011,0
945,25432,0.0011875,0
946,33687,0.0019,0
947,26982,0.000824561,0
948,30043,0.001375,0
949,25906,0.00288679,0
950,28298,0.000966102,0
951,30391,0.0022,0
952,34589,0.00121538,0
953,33874,0.00122059,0
954,22351,0.00227083,0
955,25385,0.00212727,0
956,32014,0.00137705,0
957,29963,0.00212963,0
958,32073,0.00267241,0
959,24368,0.00090566,0
960,37126,0.00161333,0
961,30572,0.0022,0
962,33412,0.00285294,0
963,31271,0.00346667,0
964,31289,0.000833333,0
965,36806,0.00316923,0
966,29113,0.00133898,0
967,29011,0.00105357,0
968,32593,0.00218333,0
969,29853,0.0034918,0
970,34437,0.0009,0
971,39823,0.00202703,0
972,29414,0.00160345,0
973,30843,0.00121667,0
974,39981,0.00133333,0
975,36469,0.00314063,0
976,34310,0.00315625,0
977,25298,0.00249123,0
978,26316,0.00275439,0
979,34557,0.00221333,0
980,29237,0.00245283,0
981,32502,0.00201724,0
982,31574,0.00301538,0
983,32655,0.00146667,0
984,31235,0.00252459,0
985,28082,0.0044,0
986,20470,0.00295918,0
987,29732,0.00204762,0
988,31133,0.00183051,0
989,34713,0.00196923,0
990,27005,0.000980769,0
991,32693,0.00260938,0
992,27457,0.00182353,0
993,27028,0.00233929,0
994,24837,0.000965517,0
995,21316,0.00148077,0
996,33994,0.00181159,0
997,34803,0.00276056,0
998,24258,0.00256604,0
999,32737,0.00105797,0
1000,29149,0.00145614,0
